actor_1,actor_2,actor_3,actors,allocine_url,category,classification,country,directors,distribution,duration,duration_minutes,fr_title,image_url,list_categories,original_title,released_date,released_year,synopsis,writer
Vincent Cassel,Diane Kruger,Guy Pearce,"Vincent Cassel,Diane Kruger,Guy Pearce",https://www.allocine.fr/film/fichefilm_gen_cfilm=290064.html,Drame,Interdit - 12 ans, Canada,David Cronenberg, Pyramide Distribution ,2h 00min,120,Les Linceuls,https://fr.web.img5.acsta.net/c_310_420/img/83/f7/83f782ad68703bb14b1972a829ad2aed.jpg,"Drame,Science Fiction,Thriller",The Shrouds,30/04/2025,2025,"Karsh, 50 ans, est un homme d’affaires renommé. Inconsolable depuis le décès de son épouse, il invente un système révolutionnaire et controversé, GraveTech, qui permet aux vivants de se connecter à leurs chers disparus dans leurs linceuls. Une nuit, plusieurs tombes, dont celle de sa femme, sont vandalisées. Karsh se met en quête des coupables.",David Cronenberg
M. Sasikumar, Simran,Yogi Babu,"M. Sasikumar, Simran,Yogi Babu",https://www.allocine.fr/film/fichefilm_gen_cfilm=1000016918.html,Drame,Tout public, Inde,Abishan Jeevinth, Night ed films ,2h 30min,150,Tourist Family,https://fr.web.img4.acsta.net/c_310_420/img/a1/c2/a1c2237be720b6ee5a26f059d91a82a9.jpg,Drame,Tourist Family,01/05/2025,2025,"En quête d’un nouveau départ, une famille sri-lankaise débarque en Inde. Avec leur générosité et leur joie de vivre, ils vont redonner des couleurs à tout un voisinage.",Abishan Jeevinth
Ajith Kumar,Suresh Gopi, Laila,"Ajith Kumar,Suresh Gopi, Laila",https://www.allocine.fr/film/fichefilm_gen_cfilm=1000022920.html,Action,Tout public avec avertissement, Inde,A.R. Murugadoss, Filmy Distributions ,2h 47min,167,Dheena,https://fr.web.img3.acsta.net/c_310_420/img/25/cb/25cb38a3624fd953b3ccf0766debd50f.jpg,"Action,Drame",Dheena,30/04/2025,2025,"Dheena, frère adoptif d’Adhikesavan, un gangster redouté, travaille à ses côtés et partage avec lui un lien très fort. Mais tout bascule lorsqu’un malentendu tragique provoque la mort de leur sœur.",A.R. Murugadoss
Yves Montand,Chris Marker,Simone Signoret,"Yves Montand,Chris Marker,Simone Signoret",https://www.allocine.fr/film/fichefilm_gen_cfilm=4700.html,Documentaire,Tout public, France,Chris Marker, Potemkine Films ,2h 16min,136,Le Joli Mai,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/97/08/83/20536438.jpg,Documentaire,Le Joli Mai,29/05/2013,2013,"Paris, mai 1962. La guerre d'Algérie vient de s'achever avec les accords d'Evian. En ce premier mois de paix depuis sept ans, que font, à quoi pensent les Parisiens ? Chacun témoigne à sa manière de ses angoisses, ses bonheurs, ses espoirs.",Chris Marker
no_actor,no_actor,no_actor,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000021494.html,Documentaire,Tout public, Belgique,Sammy Baloji, Last Dreams Production ,1h 29min,89,L’Arbre de l’Authenticité,https://fr.web.img5.acsta.net/c_310_420/img/e3/bc/e3bc1818eda0ab6ac34d75e54afe1ffa.jpg,Documentaire,L’Arbre de l’Authenticité,30/04/2025,2025,"Au cœur de la forêt équatoriale du Congo, les vestiges d’un centre de recherche consacré à l’agriculture tropicale dévoilent le lourd héritage du passé colonial et ses liens étroits avec le problème pressant du changement climatique actuel.",Sammy Baloji
no_actor,no_actor,no_actor,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000001268.html,Documentaire,Tout public, France,Mona Convert, The Dark ,1h 11min,71,Un pays en flammes,https://fr.web.img6.acsta.net/c_310_420/img/b8/3d/b83d658679cd3a15fdf1274878984ef9.jpg,Documentaire,Un pays en flammes,30/04/2025,2025,"Dans la forêt landaise, une famille se transmet, de génération en génération, les secrets du feu. Sous les yeux des animaux, les jours et les nuits se succèdent. Le père, Patrick, mange de l’herbe. La fille, Margot, explose. L’enfant, Jean, programme des bouquets de lucioles.",Mona Convert
Suriya Sivakumar,Pooja Hegde,Joju George,"Suriya Sivakumar,Pooja Hegde,Joju George",https://www.allocine.fr/film/fichefilm_gen_cfilm=1000017552.html,Action,Tout public, Inde,Karthik Subbaraj, Night ed films ,2h 30min,150,Retro,https://fr.web.img6.acsta.net/c_310_420/img/1d/5f/1d5f4aafeb39afc2a07cabee0f1a14d4.jpg,"Action,Drame,Romance",Retro,01/05/2025,2025,Un gangster tente d’éviter la violence et de mener une vie paisible après avoir fait une promesse à sa femme.,Karthik Subbaraj
Mohamad Aldokhei,no_actor,no_actor,Mohamad Aldokhei,https://www.allocine.fr/film/fichefilm_gen_cfilm=318921.html,Thriller,Tout public, Arabie Saoudite,Ali Kalthami, Eurozoom ,1h 52min,112,Coursier de nuit,https://fr.web.img4.acsta.net/c_310_420/img/c0/56/c056aba0b8d8fd18d383cc6e679127f7.jpg,Thriller,Mandoob,30/04/2025,2025,"Fahad Nassir travaille de jour dans un centre d'appel et de nuit comme livreur à Riyad. Après un coup d'éclat, il se fait licencier du centre et se retrouve dans une situation précaire, toutes ses économies servant à financer le traitement de son père malade. Désespéré, Fahad vole le stock d'alcool de trafiquants. Mais revendre ces ...",Ali Kalthami
no_actor,no_actor,no_actor,,https://www.allocine.fr/film/fichefilm_gen_cfilm=1000015724.html,Documentaire,Tout public, Canada,Lea Clermont-Dion, Vues du Québec distribution ,1h 23min,83,La Peur au ventre,https://fr.web.img4.acsta.net/c_310_420/img/1a/fb/1afb182f844f15e4dd581f3d9aff5f23.jpg,Documentaire,La Peur au ventre,30/04/2025,2025,"En procédant à l’invalidation de l’arrêt Roe v. Wade, qui légalisait l’avortement aux États-Unis depuis 1973, la Cour suprême a fait un saut en arrière. Ce recul est symptomatique d’une polarisation déroutante. Dérangée par cette situation, la réalisatrice et féministe Léa Clermont-Dion s’interroge : comment ce précédent ...",Lea Clermont-Dion
Benoît Allemane,no_actor,no_actor,Benoît Allemane,https://www.allocine.fr/film/fichefilm_gen_cfilm=327775.html,Documentaire,Tout public, France,Germain Aguesse, Ariane Distribution ,1h 13min,73,Ascq 44 : les martyrs du Nord,https://fr.web.img2.acsta.net/c_310_420/pictures/24/03/07/17/10/4064759.jpg,"Documentaire,Historique",Ascq 44 : les martyrs du Nord,30/04/2025,2025,"Le 1er avril 1944, à 22h44, un groupe de résistants commet un sabotage sur la voie ferrée d'Ascq, près de Lille, avec pour objectif de ralentir l'approvisionnement d'armes et de marchandises allemandes en direction de la Normandie. Une explosion retentit et le train s'immobilise. Les résistants l'ignorent mais le train est en réalité occupé ...",Robin Aguesse
